Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa),s0.008 (GPa),s0.015 (GPa),s0.033 (GPa)
0,126.9678466,201750.7955,0.728192271,0.266241098,0.00900003,109.63,1.121,1.1656,1.2001,1.234166667
1,137.9051852,203898.5387,0.714701712,0.255464745,0.009000001,109.63,1.121,1.1656,1.2001,1.234166667
2,150.736307,196472.9784,0.711110193,0.244350525,0.00900004,109.63,1.121,1.1656,1.2001,1.234166667
3,141.7433134,200443.2308,0.7324525,0.25198267,0.009000029,109.63,1.121,1.1656,1.2001,1.234166667
4,136.6044507,204841.2545,0.726317212,0.256678441,0.009000023,109.63,1.121,1.1656,1.2001,1.234166667
5,137.3979735,206948.0318,0.721046418,0.255935599,0.008999984,109.63,1.121,1.1656,1.2001,1.234166667
6,146.0571889,201650.9213,0.721964306,0.248233091,0.008999995,109.63,1.121,1.1656,1.2001,1.234166667
7,132.1395344,206140.3185,0.726345876,0.260979376,0.009000055,109.63,1.121,1.1656,1.2001,1.234166667
8,144.7529248,203594.2437,0.7231408,0.2493489,0.008999995,109.63,1.121,1.1656,1.2001,1.234166667
9,141.2236757,206872.2737,0.716347052,0.25244576,0.009000024,109.63,1.121,1.1656,1.2001,1.234166667
10,145.1474237,198212.7046,0.710148632,0.249010007,0.009000009,109.63,1.121,1.1656,1.2001,1.234166667
11,135.9979591,207852.4068,0.730852852,0.257250054,0.009000017,109.63,1.121,1.1656,1.2001,1.234166667
12,135.1384759,205918.5339,0.73541557,0.258066626,0.009000004,109.63,1.121,1.1656,1.2001,1.234166667
13,128.5424897,202655.9817,0.730372635,0.264605373,0.009000031,109.63,1.121,1.1656,1.2001,1.234166667
14,128.2353965,201043.698,0.733075866,0.264921988,0.009000029,109.63,1.121,1.1656,1.2001,1.234166667
15,134.9609962,205525.416,0.728235948,0.258236644,0.009000031,109.63,1.121,1.1656,1.2001,1.234166667
16,132.7080924,202193.7133,0.728291863,0.260419599,0.009000046,109.63,1.121,1.1656,1.2001,1.234166667
17,133.5688409,204058.1126,0.727644146,0.259579105,0.009000044,109.63,1.121,1.1656,1.2001,1.234166667
18,134.0713251,205983.1072,0.733958507,0.259091754,0.009000012,109.63,1.121,1.1656,1.2001,1.234166667
19,133.7273094,204499.6879,0.732353278,0.259424434,0.008999987,109.63,1.121,1.1656,1.2001,1.234166667
20,129.1772456,210772.6982,0.730079103,0.263953958,0.008999997,109.63,1.121,1.1656,1.2001,1.234166667
21,138.6845241,201511.5253,0.731311074,0.254746313,0.009000027,109.63,1.121,1.1656,1.2001,1.234166667
22,148.2058412,203300.6887,0.712747647,0.246427624,0.009000033,109.63,1.121,1.1656,1.2001,1.234166667
23,130.4816424,208519.266,0.730689166,0.262631434,0.009000007,109.63,1.121,1.1656,1.2001,1.234166667
24,147.1270017,197133.7205,0.72201508,0.247329552,0.009000039,109.63,1.121,1.1656,1.2001,1.234166667
25,135.8787889,205891.1451,0.734412028,0.257362638,0.009000003,109.63,1.121,1.1656,1.2001,1.234166667
26,124.7300965,201780.1678,0.734419538,0.268619088,0.009000052,109.63,1.121,1.1656,1.2001,1.234166667
27,133.8326296,208488.617,0.731714766,0.259322634,0.009000007,109.63,1.121,1.1656,1.2001,1.234166667
28,143.0121975,201652.8652,0.712829777,0.250862276,0.009000027,109.63,1.121,1.1656,1.2001,1.234166667
