Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
0,142.53204455418523,192671.92511207613,0.7055912263880162,0.25128414348949996,0.009000003622,109.63,1.151
1,137.59742312904743,203204.7849947718,0.7188936232228009,0.25575070801792155,0.009000030683000001,109.63,1.151
2,131.77707880418131,199441.98165219606,0.7153833271034021,0.26133765366159767,0.009000027806,109.63,1.151
3,131.90134521215552,208445.73519891498,0.7304057344480657,0.26121470438902544,0.009000040552,109.63,1.151
4,148.56226437810923,196801.6225901538,0.701137953406275,0.24613178647664274,0.009000029192,109.63,1.151
5,144.70040770998096,194727.24250482462,0.7160733513549886,0.24939456886061653,0.009000025455000001,109.63,1.151
6,141.5353220384307,204199.31778425237,0.7289801672438749,0.2521677940468569,0.009000032463,109.63,1.151
7,144.5347112540265,198306.5534036913,0.708159195230798,0.24953733535729378,0.009000014842,109.63,1.151
8,134.52141534617795,198825.21995916858,0.7121154043394305,0.25865796492110843,0.00900001308,109.63,1.151
9,143.28687598117358,193537.44551647577,0.7108622862456797,0.2506215963659748,0.009000018412999999,109.63,1.151
10,143.1682732816739,202437.53677808383,0.7262983300018353,0.2507254992075151,0.009000026671,109.63,1.151
11,144.99326573052585,193832.0510701482,0.7153993327137687,0.24914248297626282,0.00900001863,109.63,1.151
12,142.53324722996612,195846.2009396246,0.7127961589878421,0.2512833470303109,0.009000022511,109.63,1.151
13,148.10705727742032,193411.3853038669,0.705271349711136,0.24650925639643625,0.008999993925999998,109.63,1.151
14,141.9186998468317,197630.65875055752,0.7193729922325562,0.25182699897477545,0.009000035114,109.63,1.151
15,152.0960296857783,191332.15497495726,0.7129430701951303,0.2432553407208763,0.00900000282,109.63,1.151
16,145.6778401977427,197545.24210542772,0.7186973358510707,0.24855629988512562,0.009000011087000001,109.63,1.151
17,149.97774191314159,190638.65183444737,0.7144857839695758,0.24496733227647757,0.009000013397,109.63,1.151
18,151.7664063396701,202154.4009624399,0.7116604817293514,0.24351954869462122,0.009000016613,109.63,1.151
19,151.1806826005718,194781.61118736575,0.7006073630355116,0.24399066920333498,0.009000004741999999,109.63,1.151
20,144.93562192382154,198374.7059349676,0.7151857656221879,0.24919258018321971,0.009000058911,109.63,1.151
21,140.8532660620067,201374.34250313215,0.7128284289572092,0.25277739509030744,0.009000018245,109.63,1.151
22,146.3040036678594,206178.08998238397,0.7181312745378426,0.24802371728463843,0.009000002611,109.63,1.151
23,140.464360358175,193635.97017593798,0.708882146138148,0.2531267525764222,0.008999994434,109.63,1.151
24,109.45114362952921,197077.48943908478,0.7061886346366915,0.28675547704709026,0.00900002565,109.63,1.151
25,109.87745261362069,200722.8624403541,0.7269806802141471,0.2861985139103788,0.009000017024,109.63,1.151
26,148.5609062333934,199061.26603606643,0.7197003953829407,0.24613296290278433,0.009000032948,109.63,1.151
27,138.9187226424882,194838.8097782631,0.7171444162839405,0.2545317302877417,0.009000044172,109.63,1.151
28,147.7475273954825,192637.36727467552,0.7112399377867029,0.24680942303537604,0.009000024571,109.63,1.151
29,147.56954607104956,199251.96822217596,0.7177669270227875,0.2469583639795242,0.009000035453,109.63,1.151
30,145.43716660365118,191448.9808012922,0.696907959505592,0.24876159468434314,0.008999990882,109.63,1.151
31,133.7659353071327,199987.28144010596,0.7204577347692466,0.2593874435762448,0.009000019044000001,109.63,1.151
32,159.56824558823362,193637.01241880681,0.7050990223774477,0.23749168598939194,0.009000016203999999,109.63,1.151
33,147.48907781500435,195901.83018619672,0.7055144724233028,0.2470253161278033,0.009000005766,109.63,1.151
34,144.67259986766445,201245.71722303913,0.7161958062321403,0.24941827782073872,0.009000006819,109.63,1.151
35,142.5127384192339,196861.33558102866,0.7166856943665578,0.2513014342935535,0.009000023012,109.63,1.151
36,145.39276212700722,197989.7561345858,0.7196194504952153,0.24880010772681485,0.009000029135,109.63,1.151
37,141.63888380829968,199000.25923711166,0.720116072321079,0.2520754030835911,0.009000019207,109.63,1.151
38,140.04424121601983,201015.8937701737,0.7283142485420356,0.2535069369481392,0.009000050587,109.63,1.151
39,142.829571556352,206439.33084627942,0.7217230176150544,0.25102255786139405,0.009000023319,109.63,1.151
40,141.60825552354504,197130.93813388582,0.7138070305707624,0.2521024843273706,0.009000006509999998,109.63,1.151
41,155.79814005818977,190987.52613283577,0.6962931817388145,0.24034788246406955,0.009000007454,109.63,1.151
42,141.60752992309457,196577.21149297568,0.7118282169511506,0.252103364615804,0.009000023246000001,109.63,1.151
43,145.7827707732425,195532.87926908667,0.7260459165865714,0.24846700282953557,0.009000023487,109.63,1.151
44,153.7940820347007,196269.750944074,0.699901597202925,0.2419087367726634,0.009000004601,109.63,1.151
45,5.69034657059574,201935.70950052995,0.7531658386633148,1.2576282196410689,0.00900001567,109.63,1.151
46,148.11483343493552,192978.0446290534,0.7016800605307254,0.24650299250832164,0.009000009054,109.63,1.151
47,151.6603139554936,193230.33278309027,0.7030260189218268,0.24360445457907864,0.008999997771,109.63,1.151
48,140.2633222591499,196896.93266513658,0.7081993187230354,0.25330817934683775,0.009000000803000001,109.63,1.151
49,153.18332006810007,199383.39702753088,0.7221937415060762,0.24239060857350223,0.009000011332000001,109.63,1.151
50,158.67671411489422,187628.8386721564,0.6962359673133948,0.2381575763328395,0.008999989492999998,109.63,1.151
51,147.91476206451182,196522.11998315202,0.7074334029993323,0.24666990866118066,0.009000028097,109.63,1.151
52,129.5533427378353,199460.40079140672,0.7323577222371574,0.2635711534444673,0.009000038710999999,109.63,1.151
53,138.8364584574778,197558.00484455,0.712611465463335,0.2546067890732503,0.009000020251,109.63,1.151
54,148.47457093258993,197536.08588140097,0.6989466592187837,0.24620391526186364,0.008999989214,109.63,1.151
55,143.16390233437966,197093.371757185,0.7100078912439414,0.25072917965462377,0.009000016119,109.63,1.151
56,169.81780193163596,189790.97334603747,0.6971789446443731,0.23021318844340816,0.009000022909,109.63,1.151
57,3.2293400595775843,188567.9297170048,0.7229929084000039,1.6694135139623094,0.008999981766999999,109.63,1.151
58,138.22162580332247,198441.23476994273,0.7145308889448141,0.25517287576358433,0.009000051885,109.63,1.151
59,139.28130678056243,193609.48145272268,0.7063103367236355,0.2542003429670425,0.009000053626000001,109.63,1.151
60,151.29367941992845,198028.9832959576,0.7152913810548679,0.24389939577584496,0.008999994287,109.63,1.151
61,151.34184191610248,200233.6361367283,0.71670549393382,0.24386084948974251,0.009000013895,109.63,1.151
62,148.62861843652453,194313.2281133628,0.7154828083069638,0.24607660426722516,0.009000012054,109.63,1.151
63,153.49359323569757,196378.25332036678,0.7094406788669136,0.24214605652198323,0.009000052739000002,109.63,1.151
64,153.64758273775044,195006.41169275704,0.7104243246321087,0.24202437811808064,0.009000030016,109.63,1.151
65,149.68453758416038,198749.5687716784,0.6985934708830033,0.24520743778972307,0.009000035422000001,109.63,1.151
66,147.07063702669365,190499.18274821067,0.7099763550277709,0.24737657512258543,0.009000012623,109.63,1.151
67,137.53348265995982,201846.7243423326,0.7203400905141306,0.25580991240843853,0.009000013864000001,109.63,1.151
68,130.42851722152326,213501.24588831473,0.7343338428475444,0.2626850371195737,0.009000014891999999,109.63,1.151
69,138.2291097347862,202315.16999349341,0.7191310818750379,0.25516546154604847,0.009000016162,109.63,1.151
70,138.4275841806819,196551.32313631338,0.7254526242197905,0.2549824773270935,0.009000016637000001,109.63,1.151
71,152.95833538474926,197179.8410244482,0.7106724877847442,0.24256855829419038,0.008999992812,109.63,1.151
72,136.15467329397828,200564.63685585023,0.7235652977981581,0.25710232006025546,0.009000042158,109.63,1.151
73,136.46954325566773,201233.1970436391,0.7225851740211673,0.256805039541852,0.009000006481,109.63,1.151
74,144.4637338537479,193926.83027184635,0.727477144505291,0.2495986507966387,0.009000016433999999,109.63,1.151
75,129.79116976029252,206615.86778475303,0.7372163547128647,0.2633292557366903,0.009000017832,109.63,1.151
76,149.86281467602012,196964.1612513306,0.7077164810194441,0.24506100797676253,0.008999995994,109.63,1.151
77,139.0581846841059,199318.8735940143,0.7249497652329441,0.25440362421897805,0.009000013141,109.63,1.151
78,139.79803697781716,194274.44557284337,0.7140861074548465,0.2537297647484657,0.009000028957,109.63,1.151
79,142.70670015994983,194036.73842693437,0.7068025191770188,0.2511306639914696,0.00900002786,109.63,1.151
80,154.67060719082198,188927.32832680954,0.6935969262795848,0.24122283699117916,0.009000043989,109.63,1.151
81,143.61888944988735,196114.0873781442,0.7087722554441017,0.2503315158522788,0.009000002344,109.63,1.151
82,145.2426658732229,194845.3785573392,0.7025923004183431,0.24892798744686775,0.008999982551,109.63,1.151
83,138.98169798678674,195209.90277887945,0.7087872568254492,0.2544732813508025,0.008999989301,109.63,1.151
84,128.07813694472836,199770.17352757303,0.7208643869841654,0.2650846758268316,0.009000036,109.63,1.151
85,139.42387534595437,208554.45496387497,0.7420508472527999,0.25406969929478745,0.009000008034000001,109.63,1.151
86,156.77898735689413,193894.22344877457,0.7015620304299504,0.23959569922516402,0.009000070083,109.63,1.151
87,136.6021219546442,198262.82391728112,0.7251120306530201,0.2566803501403174,0.009000003778,109.63,1.151
88,137.47775295549548,196141.23097249414,0.7282959373985229,0.25586148693106586,0.008999994913000001,109.63,1.151
89,147.42369148551012,196489.66461764582,0.7106581764266446,0.24708027267134333,0.009000018985999999,109.63,1.151
90,144.01853474825387,198835.15473534947,0.7171007070186612,0.24998384290793996,0.008999994999,109.63,1.151
91,154.35571532506734,196578.77854257677,0.7047939653722534,0.24146898812345924,0.009000060713,109.63,1.151
92,122.0561594793874,200395.4255195842,0.7334785485943134,0.27154440047428025,0.00899997709,109.63,1.151
93,134.4424069695298,203124.1209460078,0.728802581027188,0.2587343296959103,0.009000039001,109.63,1.151
94,125.67084797953324,204705.25994773713,0.725622404888988,0.2676113835988221,0.009000024928999999,109.63,1.151
95,140.43994298373946,201775.4933898702,0.739633206386048,0.25314887430582267,0.00900000282,109.63,1.151
96,151.47983806294633,198748.45359565853,0.7143556948573926,0.24374972758093452,0.009000012449,109.63,1.151
97,143.75234883814667,199151.3072876208,0.7121266197757268,0.2502155518658607,0.009000021525,109.63,1.151
98,155.46046845575484,193422.1979724224,0.7019356224389526,0.2406092249616782,0.009000041674,109.63,1.151
99,152.61317571172708,195242.26458494697,0.7095372473743488,0.24284290278427223,0.009000007277999999,109.63,1.151
100,148.24768771096308,199407.59891345233,0.7205806942573304,0.24639283722903527,0.009000032655,109.63,1.151
101,156.1582434571174,194544.1712675474,0.6987774921216452,0.24007104311575875,0.009000040716,109.63,1.151
102,150.92427157729222,196906.29340524154,0.7069103854570008,0.2441982862363035,0.009000037355,109.63,1.151
103,146.03785280431373,193810.7242500784,0.7150934053470104,0.2482493058944744,0.008999979592,109.63,1.151
104,135.64431707107593,193084.4244647541,0.7245086319803232,0.2575854064713968,0.009000033213,109.63,1.151
105,139.9788814078229,197062.05600220093,0.7121680310346306,0.25356572891333523,0.009000023211,109.63,1.151
106,155.63960409066414,194135.496201037,0.7045286897207432,0.2404704881396518,0.00900002441,109.63,1.151
107,151.2627346178253,197396.7922966209,0.7143191450082942,0.2439247369283665,0.00900002339,109.63,1.151
108,138.23201673192492,193812.7187822725,0.7041511496854963,0.255162457649111,0.008999993529,109.63,1.151
109,157.8895673400054,197462.94890634515,0.7040476728223574,0.23875085788710018,0.009000016719,109.63,1.151
110,148.87273860041844,191936.58992250977,0.7167037578791686,0.24587466129637053,0.009000004506,109.63,1.151
111,149.220135601047,204690.19823131102,0.7243770603339038,0.24558898493201808,0.009000055726000001,109.63,1.151
112,139.57627089642796,198811.72004135026,0.71886890598995,0.25393133713185895,0.009000034828,109.63,1.151
113,144.99250428583665,198643.23418880624,0.7085975532944073,0.24914301462498276,0.009000009776,109.63,1.151
114,146.0693946580816,195810.97252042076,0.7124406266986617,0.24822314429256387,0.00900002622,109.63,1.151
