Case,n,E (GPa),sy (GPa),C (GPa)
1,0,10,0.03,0.4894325
2,0.1,10,0.03,0.6682125
3,0.3,10,0.03,1.2058775
4,0.5,10,0.03,2.10486
5,0,10,0.1,1.4257625
6,0.1,10,0.1,1.7411825
7,0.3,10,0.1,2.4939675
8,0.5,10,0.1,3.429225
9,0,10,0.3,3.32295
10,0.1,10,0.3,3.663525
11,0.3,10,0.3,4.3457
12,0.5,10,0.3,5.111125
25,0,50,0.2,3.188075
26,0.1,50,0.2,4.236875
27,0.3,50,0.2,7.231675
28,0.5,50,0.2,11.8933
29,0,50,0.6,8.286125
30,0.1,50,0.6,9.97285
31,0.3,50,0.6,13.805825
32,0.5,50,0.6,18.37915
33,0,50,1,12.40695
34,0.1,50,1,14.237125
35,0.3,50,1,18.0173
36,0.5,50,1,22.20515
37,0,50,2,19.938925
38,0.1,50,2,21.46805
39,0.3,50,2,24.4911
40,0.5,50,2,28.03225
45,0,90,0.5,7.697456935
46,0.1,90,0.5,9.95025
47,0.3,90,0.5,15.92805
48,0.5,90,0.5,24.531175
49,0,90,1.5,19.4396
50,0.1,90,1.5,22.66185
51,0.3,90,1.5,29.6035
52,0.5,90,1.5,37.3965
53,0,90,3,32.086
54,0.1,90,3,35.074
55,0.3,90,3,40.85725
56,0.5,90,3,47.64125
57,0,130,1,14.78901307
58,0.1,130,1,18.555825
59,0.3,130,1,27.93125
60,0.5,130,1,40.24525
61,0,130,2,26.35075
62,0.1,130,2,30.96625
63,0.3,130,2,41.04825
64,0.5,130,2,52.43225
65,0,130,3,35.945
66,0.1,130,3,40.70825
67,0.3,130,3,50.178
68,0.5,130,3,6.07E+01
69,0,170,0.3,4.998832608
70,0.1,170,0.3,7.24525
71,0.3,170,0.3,14.583425
72,0.5,170,0.3,28.39725
73,0,170,1.5,21.79340199
74,0.1,170,1.5,26.94225
75,0.3,170,1.5,39.50725
76,0.5,170,1.5,55.52725
77,0,170,3,38.4145
78,0.1,170,3,44.5455
79,0.3,170,3,5.75E+01
80,0.5,170,3,7.21E+01
81,0,210,0.3,5.023506479
82,0.1,210,0.3,7.45345
83,0.3,210,0.3,15.6777
84,0.5,210,0.3,31.9245
85,0,210,1.8,26.25263186
86,0.1,210,1.8,32.52575
87,0.3,210,1.8,47.99825
88,0.5,210,1.8,6.78E+01
89,0,210,3,40.1235
90,0.1,210,3,47.4745
91,0.3,210,3,6.37E+01
92,0.5,210,3,8.24E+01
