Case,n,E (GPa),sy (GPa),C (GPa),dP/dh (N/m),Wp/Wt
1,0,10,0.03,2.7313,15727,0.941473377
2,0.1,10,0.03,3.3874,14030,0.924687259
3,0.3,10,0.03,4.9515,12154,0.871432556
4,0.5,10,0.03,7.0973,11163,0.785622842
5,0,10,0.1,7.0002,13753,0.830543263
6,0.1,10,0.1,7.6475,12818,0.805147834
7,0.3,10,0.1,9.2298,11310,0.734351548
8,0.5,10,0.1,11.059,10551,0.643353481
9,0,10,0.3,12.585,11285,0.62861192
10,0.1,10,0.3,13.119,10595,0.597129646
11,0.3,10,0.3,14.273,10246,0.526818262
12,0.5,10,0.3,15.382,9801.9,0.451835163
25,0,50,0.2,17.517,75353,0.926063808
26,0.1,50,0.2,21.015,69278,0.903360956
27,0.3,50,0.2,29.082,60491,0.845536824
28,0.5,50,0.2,39.61,53194,0.757046615
29,0,50,0.6,39.269,65181,0.809248634
30,0.1,50,0.6,42.448,60707,0.778014232
31,0.3,50,0.6,50.053,56416,0.705177179
32,0.5,50,0.6,58.762,52643,0.615956309
33,0,50,1,52.198,60315,0.716502642
34,0.1,50,1,55.111,56647,0.684194372
35,0.3,50,1,61.87,52861,0.614407921
36,0.5,50,1,68.892,49249,0.53009176
37,0,50,2,71.111,52850,0.552942455
38,0.1,50,2,73.468,52680,0.521948994
39,0.3,50,2,78.337,49111,0.455921266
40,0.5,50,2,82.56,48594,0.391556098
45,0,90,0.5,41.271,133346,0.898064337
46,0.1,90,0.5,47.49,123181,0.872736537
47,0.3,90,0.5,62.321,108261,0.811160012
48,0.5,90,0.5,80.813,95463,0.720792118
49,0,90,1.5,85.474,109588,0.756131498
50,0.1,90,1.5,90.725,108124,0.722349511
51,0.3,90,1.5,103.39,95501,0.649363455
52,0.5,90,1.5,117.39,92890,0.562522439
53,0,90,3,118.51,95566,0.603166988
54,0.1,90,3,123.56,95141,0.57007234
55,0.3,90,3,133.17,88683,0.502525761
56,0.5,90,3,142.37,88105,0.430457352
57,0,130,1,75.906,182228,0.867733138
58,0.1,130,1,84.816,168498,0.838860137
59,0.3,130,1,105.98,147766,0.773250129
60,0.5,130,1,131.43,137471,0.677984734
61,0,130,2,118.37,166779,0.766780679
62,0.1,130,2,126.1,156523,0.733776659
63,0.3,130,2,144.84,146170,0.664818924
64,0.5,130,2,165.51,135802,0.576067558
65,0,130,3,145.71,148034,0.691357875
66,0.1,130,3,152.8,146822,0.655001359
67,0.3,130,3,169.72,137144,0.584708454
68,0.5,130,3,186.52,127832,0.503200137
69,0,170,0.3,28.903,269423,0.96521174
70,0.1,170,0.3,38.139,250194,0.950506039
71,0.3,170,0.3,61.738,217848,0.907609247
72,0.5,170,0.3,97.529,191812,0.830509707
73,0,170,1.5,109.55,235951,0.848722846
74,0.1,170,1.5,121,219013,0.819802314
75,0.3,170,1.5,148.05,192752,0.752472218
76,0.5,170,1.5,180.36,179556,0.660644643
77,0,170,3,166.48,206424,0.741830126
78,0.1,170,3,176.6,194391,0.71326251
79,0.3,170,3,200.01,180237,0.63851417
80,0.5,170,3,225.47,168122,0.55243833
81,0,210,0.3,29.236,336838,0.971834823
82,0.1,210,0.3,39.67,310614,0.958907287
83,0.3,210,0.3,66.93,269751,0.918960881
84,0.5,210,0.3,110.19,237229,0.845968044
85,0,210,1.8,132.46,292037,0.852765648
86,0.1,210,1.8,146.5,270639,0.824063207
87,0.3,210,1.8,179.74,238141,0.756445802
88,0.5,210,1.8,220.56,221818,0.664512926
89,0,210,3,183.33,270453,0.777316381
90,0.1,210,3,195.87,253349,0.746043717
91,0.3,210,3,226.57,236304,0.67665745
92,0.5,210,3,261.33,220830,0.588159296
1001,0.145964128,24.518,0.036792082,5.44893,34447.5898,0.95009059
1002,0.01662948,158.652,0.314353259,45.50163,218173.921,0.932217155
1003,0.179914383,23.138,0.08110304,10.0647564,29428.4483,0.896481415
1004,0.104538091,177.128,0.77102177,79.0083632,242266.561,0.892374516
1005,0.177243493,73.432,0.561384659,51.55608338,91208.7232,0.813524272
1006,0.248499571,83.518,0.698605786,66.71392543,95641.878,0.781243186
1007,0.192212837,161.724,1.4218142,124.7411233,199546.808,0.793776325
1008,0.200421464,200.938,1.791465339,157.5263567,246943.903,0.790274602
1009,0.069375057,125.17298,1.46212455,100.9783905,155946.416,0.786638777
1010,0.252666543,168.884,2.388292291,174.6662346,190884.093,0.693697492
1011,0.010839473,122.034,1.8229105,108.4180338,152459.925,0.762930734
1012,0.173475534,33.366,0.551258765,34.9809162,37708.8268,0.694126666
1013,0.04541143,76.098,1.273039936,73.4549092,93589.4287,0.740597616
1014,0.019809834,100.806,1.969671916,103.8147089,114967.338,0.718618735
1015,0.13734243,74.168,1.504071357,83.5448744,83605.6034,0.666454855
1016,0.154791826,185.734,4.697898647,232.6098509,208107.553,0.617879964
1017,0.213848392,21.538,0.683477487,30.2875842,21952.6746,0.537749082
1018,0.211730791,145.74,5.298021123,214.5957352,148112.485,0.504218593
1019,0.4,10,0.3,14.80811921,10133.6449,0.484226139
1020,0.4372,24.52,0.0368,11.31411387,27782.2231,0.870910403
1021,0.3526,200.94,1.7915,184.9469063,227943.573,0.727062113
1022,0.4173,122.03,1.8229,145.5464183,125169.191,0.616455943
1023,0.4881,100.81,1.9697,136.7099623,102280.885,0.534460661
1024,0.4623,145.74,5.298,231.6351998,133783.479,0.421234112
