Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
0,103.6799674,186488.8184,0.689756517,0.294628365,0.00900003,109.63,1.029
1,108.6105716,183452.2713,0.680518281,0.287862519,0.008999997,109.63,1.029
2,102.9439904,192939.2586,0.691277798,0.295679709,0.009000032,109.63,1.029
3,108.8169956,186800.2954,0.669441127,0.287589781,0.009000023,109.63,1.029
4,93.9726604,197374.0492,0.718339514,0.30947149,0.009000006,109.63,1.029
5,94.26829161,190728.0429,0.694644937,0.308986645,0.009000053,109.63,1.029
6,64.89114476,186795.6837,0.698094458,0.372416604,0.009000021,109.63,1.029
7,109.2964776,183863.769,0.677684238,0.286957934,0.009000003,109.63,1.029
8,106.3387171,188001.5218,0.688092731,0.290921551,0.009000014,109.63,1.029
9,103.0420886,189494.285,0.702041465,0.295538909,0.009000031,109.63,1.029
10,110.6092046,182095.6388,0.684673429,0.285249428,0.008999965,109.63,1.029
11,108.4839784,185804.7955,0.691726742,0.28803075,0.009000017,109.63,1.029
12,116.8651696,186897.0735,0.670072934,0.277509623,0.008999973,109.63,1.029
13,106.2978324,189464.0236,0.70336917,0.290978054,0.009000049,109.63,1.029
14,105.0515204,189121.6464,0.696162219,0.292698551,0.00900002,109.63,1.029
15,108.7474659,184927.2013,0.671557999,0.287681885,0.009000035,109.63,1.029
16,108.9590803,184152.2134,0.677465278,0.287402032,0.009000012,109.63,1.029
17,104.0645367,184276.147,0.685508005,0.294084153,0.009000072,109.63,1.029
18,99.59236338,192159.3288,0.705099304,0.300613758,0.009000026,109.63,1.029
19,106.2131899,193346.2542,0.69467699,0.291094061,0.009000055,109.63,1.029
20,60.2194775,191785.155,0.715674277,0.386592497,0.009000027,109.63,1.029
21,112.9780254,181323.7254,0.672567599,0.282243504,0.008999987,109.63,1.029
22,107.1057668,230037.6955,0.739895666,0.289877873,0.00900001,109.63,1.029
23,100.9642593,187777.384,0.699181784,0.298564266,0.009000017,109.63,1.029
24,102.6124843,190815.377,0.694070901,0.296156849,0.009000026,109.63,1.029
25,82.74496909,186520.0923,0.698257777,0.329800436,0.009000032,109.63,1.029
26,100.8593295,186370.6993,0.704478711,0.298719805,0.009000033,109.63,1.029
27,102.8073609,187159.9948,0.691201517,0.295876612,0.009000062,109.63,1.029
28,103.7398424,187098.2959,0.698712439,0.294543394,0.009000034,109.63,1.029
29,104.3904134,190323.0006,0.691206051,0.293624218,0.009000038,109.63,1.029
30,110.8514234,187015.7256,0.694377819,0.284938546,0.009000024,109.63,1.029
31,108.2324693,194197.5748,0.686803249,0.28836483,0.008999993,109.63,1.029
32,107.8420142,187244.7395,0.683788219,0.288887284,0.009000048,109.63,1.029
33,103.2866828,189107.1651,0.706212502,0.295188654,0.009000024,109.63,1.029
34,104.8249598,185549.3436,0.677192856,0.293015011,0.00900004,109.63,1.029
35,107.0743643,190296.4352,0.701072595,0.289920386,0.00900001,109.63,1.029
36,110.7514979,185631.1558,0.674097256,0.285067217,0.009000034,109.63,1.029
37,107.2834854,184810.1171,0.68046783,0.289638108,0.009000037,109.63,1.029
38,103.2325581,184797.2227,0.679717157,0.295266726,0.009000066,109.63,1.029
40,118.9239505,187799.1362,0.680539344,0.275097778,0.00900002,109.63,1.029
41,104.7156313,188441.4176,0.692478999,0.293167621,0.009000021,109.63,1.029
42,109.5816947,185724.0845,0.670217427,0.286584427,0.009000014,109.63,1.029
43,105.351308,184960.4517,0.693832074,0.292281366,0.008999993,109.63,1.029
44,114.5041159,183574.624,0.678407969,0.280355885,0.008999957,109.63,1.029
45,102.624005,191896.6359,0.687689919,0.296140134,0.00900002,109.63,1.029
46,118.1477337,187103.8576,0.67495214,0.276000622,0.009000062,109.63,1.029
47,108.9959807,189674.4818,0.697422688,0.287353562,0.009000024,109.63,1.029
48,108.0483,188341.513,0.690730424,0.288610814,0.009000013,109.63,1.029
49,117.3392758,189814.8517,0.697067367,0.276948755,0.008999994,109.63,1.029
50,108.8466007,189279.4312,0.694429189,0.287550662,0.009000023,109.63,1.029
51,75.09580848,193395.8857,0.673946521,0.346189588,0.009000025,109.63,1.029
52,108.5503453,186993.9481,0.69243462,0.287943272,0.009000053,109.63,1.029
53,106.9964471,188530.634,0.697019983,0.290026344,0.009000036,109.63,1.029
54,102.0225654,184281.9363,0.683589389,0.297011957,0.009000033,109.63,1.029
55,109.2064251,185990.6592,0.68594299,0.287076371,0.009000012,109.63,1.029
56,107.8967751,188930.2675,0.701104694,0.288813629,0.009000027,109.63,1.029
57,100.2094689,182923.2566,0.69066246,0.299686955,0.00900004,109.63,1.029
58,57.52423936,188717.1877,0.681594373,0.395544588,0.008999985,109.63,1.029
59,106.1952111,185107.2353,0.676091806,0.291117708,0.008999993,109.63,1.029
60,102.7192063,191273.7981,0.714424696,0.296002715,0.009000011,109.63,1.029
61,97.64937483,189780.0133,0.683980308,0.303589439,0.009000006,109.63,1.029
62,111.663573,187402.4465,0.686984406,0.283900433,0.009000023,109.63,1.029
63,97.32708009,188519.4927,0.699068668,0.304091888,0.009000018,109.63,1.029
64,88.80281483,188237.7947,0.689661586,0.318352251,0.009000001,109.63,1.029
65,106.0009997,189299.1485,0.691951009,0.29138448,0.009000006,109.63,1.029
66,107.4002994,188535.0509,0.694589069,0.289480377,0.009000026,109.63,1.029
67,109.2466036,191215.7358,0.697562319,0.2870235,0.009000007,109.63,1.029
68,92.94589981,193845.8253,0.703728019,0.31117622,0.009000011,109.63,1.029
69,107.9339052,183647.5653,0.67886422,0.288763044,0.008999971,109.63,1.029
70,93.58747261,191106.7485,0.710263132,0.310107661,0.009000004,109.63,1.029
