Case,C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Pm (N),E* (GPa),sy (GPa)
0,135.46318547740856,178953.1933357959,0.6857879947210201,0.2577583331712978,0.009000087119,109.63,1.115
2,146.84474773328617,178428.5220529338,0.6662146491074579,0.24756663369003806,0.009000002710000002,109.63,1.115
3,146.52911175150635,177831.01395935842,0.6945530546653427,0.24783349980563818,0.009000029577,109.63,1.115
4,144.67286972163524,179282.85844006095,0.6971533597180108,0.24941817490166013,0.009000016179,109.63,1.115
5,140.99818411762865,180817.77800216508,0.6972537897773273,0.2526471192610951,0.00899999402,109.63,1.115
6,149.24342714218903,183428.44377325324,0.6896318361653929,0.245569602921483,0.009000039787,109.63,1.115
8,156.61845088647914,188250.47645672312,0.6969006988860081,0.23971816522525988,0.009000047758999999,109.63,1.115
9,142.202630133756,184105.16279660512,0.6946022669295561,0.25157454656383993,0.008999969263,109.63,1.115
10,147.39336860067306,185637.25586027588,0.7042256124104824,0.24710537484557066,0.008999996248999999,109.63,1.115
11,169.99933995553064,182393.52239292063,0.6813820602622588,0.23009061249441878,0.009000052348999999,109.63,1.115
14,165.1280562065732,177251.7086983601,0.6851012205723513,0.23345903711745822,0.008999994595,109.63,1.115
15,159.146138184581,177168.75132592866,0.6860767600864898,0.23780626473169406,0.009000003688,109.63,1.115
16,144.94662751109414,180411.27058566344,0.7031095374969693,0.24918245490931254,0.009000010897,109.63,1.115
17,153.36039391610308,178723.9925677766,0.689010520106056,0.24225061846603305,0.009000010256,109.63,1.115
18,139.1628243620347,178836.42875337845,0.6878398271442049,0.25430832486024996,0.009000038944,109.63,1.115
21,157.40463582061022,180925.0617562494,0.6830629663391239,0.23911831028906919,0.009000014003,109.63,1.115
23,157.36061310366546,183001.67160214268,0.7007539075555049,0.2391517757763079,0.009000015533,109.63,1.115
24,170.9892972701895,178189.70439133936,0.6718339758073143,0.22942311896071008,0.009000016106999999,109.63,1.115
25,160.95530782676752,173686.94135649462,0.6643717066272469,0.23646646215902345,0.009000039399,109.63,1.115
26,155.2672485440851,178345.80353625625,0.6769649809440422,0.24075917983733863,0.009000063372000001,109.63,1.115
27,170.95925258372986,179768.37420095643,0.6802931592555653,0.22944363254941108,0.009000043946,109.63,1.115
28,141.22197969180215,182687.79014033393,0.7108318803281795,0.25244677857409836,0.008999988645,109.63,1.115
29,150.81779991652172,180960.73829538067,0.6843804887123408,0.24428404552208033,0.009000006195,109.63,1.115
30,145.55508840925353,185076.72302861168,0.6937510430247168,0.2486611692597602,0.009000017115,109.63,1.115
31,155.0960370914977,177097.72635893544,0.6847487325691115,0.24089148058568324,0.009000022247999999,109.63,1.115
32,145.74680853088822,186376.33181153593,0.683886780527393,0.24849750080619573,0.009000012326,109.63,1.115
33,160.29939686113013,180825.58727970324,0.6802592870025381,0.23694978976953981,0.009000042157,109.63,1.115
35,164.4726046469695,185911.78598602721,0.7048209823339723,0.23392424884992583,0.009000032077,109.63,1.115
36,153.1581610549021,182381.08465567866,0.6938042580470734,0.24241057330896257,0.009000015566,109.63,1.115
37,150.76822482215226,178056.99434546957,0.6885905219516588,0.24432404570736158,0.008999994493000001,109.63,1.115
38,161.96116257899962,178111.67677009024,0.6708474589496968,0.23573068944143097,0.009000013032000001,109.63,1.115
39,153.9476146725166,183116.61152223079,0.6929350662183779,0.24178845597342957,0.009000032713000001,109.63,1.115
40,153.4251484212341,180411.34165353395,0.688743213067032,0.24220019243333124,0.009000062384999999,109.63,1.115
41,144.19421199989966,185351.23021542988,0.6927761654874022,0.24983185221200768,0.009000019358,109.63,1.115
42,145.42074936188706,181447.4663878991,0.7029277425280656,0.24877587939380297,0.009000008476,109.63,1.115
43,152.39144416931828,177724.30930306172,0.6789832957674232,0.24301967689886547,0.009000019760999999,109.63,1.115
44,149.39987973181871,182634.30865860963,0.6864443434502067,0.24544063829835172,0.00900001413,109.63,1.115
45,145.95411715851336,190288.9906575843,0.6964247479505973,0.2483208590270862,0.009000005073,109.63,1.115
46,150.69686507599815,185689.6219715178,0.6865830578019929,0.2443825235163761,0.009000041416,109.63,1.115
48,156.4406694415804,176854.04698716855,0.6711675921663669,0.23985424292593344,0.009000040763,109.63,1.115
49,155.89064481137876,182945.22543732723,0.6826244298413112,0.24027700541150998,0.009000040728,109.63,1.115
50,157.0246697191019,181802.90122008053,0.6950446850249323,0.23940742684460228,0.009000012784,109.63,1.115
51,161.7790130547823,181525.62310149707,0.6818929985359127,0.23586393274045636,0.009000056852,109.63,1.115
52,153.47365956017762,181361.98421716414,0.6755174701437913,0.24216119061948363,0.009000008827,109.63,1.115
53,158.3385044912253,182286.3209416969,0.6801582402681263,0.23841244920454693,0.009000039121,109.63,1.115
54,148.23732771456332,183293.13309772432,0.6879630393940882,0.2464008468679661,0.008999988813,109.63,1.115
55,167.71535623211525,181764.35842913573,0.6763988290949088,0.23165159205198568,0.009000018612,109.63,1.115
56,157.4647137964719,185665.0022581738,0.6858341954928,0.23907314886715872,0.009000048537999999,109.63,1.115
57,149.8206849657435,186596.83487631343,0.6835466720838215,0.24509576649462542,0.009000018411999999,109.63,1.115
58,148.1301954952187,185821.6221677937,0.7027738632250509,0.2464903883562092,0.009000022064000001,109.63,1.115
59,166.2229464385661,185499.9530880019,0.685249488566735,0.2326892824490341,0.009000025439,109.63,1.115
60,143.94876923209998,180630.39301608579,0.6890453157036077,0.25004397070842277,0.008999963120000001,109.63,1.115
61,156.66933868033055,181698.80542067124,0.6888353314869454,0.23967833360517932,0.008999980393,109.63,1.115
62,159.3686340812193,181739.0338182107,0.6768881758307027,0.23764055506196405,0.009000030197,109.63,1.115
63,144.53889931868872,187412.3889344966,0.6916872527355633,0.24953319792516787,0.008999977174,109.63,1.115
64,158.19462305142855,183523.77666035044,0.6837287037104879,0.23852058115421684,0.009000019194,109.63,1.115
65,151.65300371690017,190319.37806991945,0.6916060588546903,0.24361074851923725,0.009000029003,109.63,1.115
66,154.35302670728316,186466.61236714263,0.6936199232222884,0.24147079341137773,0.009000038519,109.63,1.115
67,145.10865474457933,184440.22332535093,0.688021477188485,0.24904296615975582,0.008999986881999999,109.63,1.115
68,154.5006409358872,187977.89531966,0.6890370732628588,0.24135511351970976,0.009000016268,109.63,1.115
69,158.71638688233256,185426.03835377627,0.693531626126117,0.23812806731091396,0.009000008979,109.63,1.115
70,149.79459140491758,189340.60230533153,0.6889214184715506,0.24511719238191557,0.009000024251,109.63,1.115
71,151.63189607662832,185645.62998520889,0.700010111377336,0.2436275024549139,0.00900001414,109.63,1.115
72,153.2396880583961,183925.9100738582,0.6894259534232374,0.24234609632143497,0.009000016722000001,109.63,1.115
73,147.53657858576702,180608.78843574718,0.6981572106004267,0.24698593401551325,0.00900003398,109.63,1.115
